epoch,train_mse,val_mse,lr
1,0.022362,0.009734,1.000000e-03
2,0.011730,0.008559,1.000000e-03
3,0.009664,0.007466,1.000000e-03
4,0.009054,0.007470,1.000000e-03
5,0.008880,0.007590,1.000000e-03
6,0.008635,0.007005,1.000000e-03
7,0.008415,0.006838,1.000000e-03
8,0.008054,0.006799,1.000000e-03
9,0.008185,0.006909,1.000000e-03
10,0.008204,0.006747,1.000000e-03
11,0.007832,0.006443,1.000000e-03
12,0.007566,0.007196,1.000000e-03
13,0.007679,0.006451,1.000000e-03
14,0.007456,0.006503,1.000000e-03
15,0.007412,0.006844,1.000000e-03
16,0.007282,0.006622,1.000000e-03
17,0.007003,0.005918,1.000000e-03
18,0.007027,0.006088,1.000000e-03
19,0.006867,0.006147,1.000000e-03
20,0.006937,0.005964,1.000000e-03
21,0.006761,0.005853,1.000000e-03
22,0.006636,0.005735,1.000000e-03
23,0.006523,0.006080,1.000000e-03
24,0.006601,0.005655,1.000000e-03
25,0.006484,0.005885,1.000000e-03
26,0.006453,0.005519,1.000000e-03
27,0.006262,0.005501,1.000000e-03
28,0.006146,0.005463,1.000000e-03
29,0.006087,0.005355,1.000000e-03
30,0.006091,0.005352,1.000000e-03
31,0.006004,0.005441,1.000000e-03
32,0.006023,0.005516,1.000000e-03
33,0.006025,0.005411,1.000000e-03
34,0.005999,0.005275,1.000000e-03
35,0.005766,0.005299,1.000000e-03
36,0.005722,0.005328,1.000000e-03
37,0.005672,0.005109,1.000000e-03
38,0.005575,0.005333,1.000000e-03
39,0.005565,0.005046,1.000000e-03
40,0.005614,0.005085,1.000000e-03
41,0.005518,0.005213,1.000000e-03
42,0.005494,0.005105,1.000000e-03
43,0.005502,0.005050,1.000000e-03
44,0.005546,0.004935,1.000000e-03
45,0.005471,0.004999,1.000000e-03
46,0.005390,0.004965,1.000000e-03
47,0.005284,0.004980,1.000000e-03
48,0.005330,0.004967,1.000000e-03
49,0.005252,0.004914,1.000000e-03
50,0.005330,0.004803,1.000000e-03
51,0.005240,0.004932,1.000000e-03
52,0.005206,0.004827,1.000000e-03
53,0.005086,0.004828,1.000000e-03
54,0.005179,0.004762,1.000000e-03
55,0.005000,0.004732,1.000000e-03
56,0.004990,0.004669,1.000000e-03
57,0.004986,0.004659,1.000000e-03
58,0.004951,0.004644,1.000000e-03
59,0.004890,0.004815,1.000000e-03
60,0.004878,0.004634,1.000000e-03
61,0.004786,0.004689,1.000000e-03
62,0.004757,0.004684,1.000000e-03
63,0.004816,0.004608,1.000000e-03
64,0.004764,0.004538,1.000000e-03
65,0.004682,0.004513,1.000000e-03
66,0.004685,0.004783,1.000000e-03
67,0.004852,0.004497,1.000000e-03
68,0.004694,0.004513,1.000000e-03
69,0.004823,0.004571,1.000000e-03
70,0.004642,0.004551,1.000000e-03
71,0.004595,0.004578,1.000000e-03
72,0.004629,0.004521,1.000000e-03
73,0.004599,0.004467,1.000000e-03
74,0.004574,0.004442,1.000000e-03
